Time,PT.Motor.Trq,Car.v
63.67,130.564621,70.43335642
63.68,126.7530212,70.51188807
63.69,122.8142166,70.58782419
63.7,118.7645645,70.66106867
63.71,114.6201553,70.73155283
63.72,110.3965225,70.79922175
63.73,106.1086273,70.86402048
63.74,101.7701797,70.92590784
63.75,97.39434052,70.98484263
63.76,93.00473022,71.0408111
63.77,88.64170074,71.09379953
63.78,84.30957794,71.14382166
63.79,80.02153015,71.19090494
63.8,75.79076385,71.23507685
63.81,71.62648773,71.27637171
63.82,67.53511047,71.31483072
63.83,63.52037048,71.35049509
63.84,59.58413696,71.38342661
63.85,55.72783279,71.41366648
63.86,51.95111847,71.44126963
63.87,48.25381088,71.46629099
63.88,44.63514328,71.4887855
63.89,41.09420013,71.50880121
63.9,37.63012695,71.5263862
63.91,34.24155807,71.5415954
63.92,30.92759323,71.55448374
63.93,27.68698502,71.56509928
63.94,24.51857948,71.57348322
63.95,21.42142677,71.57969736
63.96,18.39419746,71.58378977
63.97,15.43598175,71.58579477
63.98,12.54550838,71.58576731
63.99,9.721908569,71.58375544
64,6.965173721,71.57980722
64.01,4.275478363,71.573957
64.02,1.653079987,71.56625971
64.03,0.011473442,71.5567634
64.04,-3.454113483,71.5460792
64.05,-5.858938217,71.53297113
64.06,-8.214164734,71.51829065
64.07,-9.994879723,71.50199656
64.08,-9.999970436,71.48481668
64.09,-10.00000095,71.46754068
64.1,-10,71.45012735
64.11,-10,71.43259043
64.12,-10,71.41492991
64.13,-10,71.39714579
64.14,-10,71.3792518
64.15,-10,71.36124796
64.16,-10,71.34313425
64.17,-10,71.32492441
64.18,-10,71.30661158
64.19,-10,71.28820261
64.2,-10,71.26970438
64.21,-10,71.25112375
64.22,-10,71.23245386
64.23,-10,71.21370844
64.24,-10,71.19487375
64.25,-10,71.1759498
64.26,-10,71.15694346
64.27,-10,71.13784098
64.28,-10,71.11864924
64.29,-10,71.09936823
64.3,-10,71.07998423
64.31,-10,71.06050409
64.32,-10,71.04092783
64.33,-10,71.02124857
64.34,-10,71.00146631
64.35,-10,70.98157419
64.36,-10,70.96157908
64.37,-10,70.94148096
64.38,-10,70.92127298
64.39,-10,70.90095514
64.4,-10,70.88052744
64.41,-10,70.85998987
64.42,-10,70.83934244
64.43,-10,70.81858515
64.44,-10,70.79771113
64.45,-10,70.7767341
64.46,-10,70.75564035
64.47,-10,70.73442988
64.48,-10,70.71310953
64.49,-10,70.69167933
64.5,-10,70.67013926
64.51,-10,70.64848246
64.52,-10,70.62671579
64.53,-10,70.60483927
64.54,-10,70.58285288
64.55,-10,70.56071543
64.56,-10,70.53839945
64.57,-10.00000095,70.51582941
64.58,-10.00000095,70.49286112
64.59,-10.00000191,70.46925425
64.6,-10.00000191,70.4446998
64.61,-10.00000191,70.41879953
64.62,-10.00000286,70.39112085
64.63,-10.00000286,70.36118998
64.64,-10.00000286,70.32854685
64.65,-10.00000286,70.29273829
64.66,-10.00000191,70.25336603
64.67,-10.00000191,70.2100799
64.68,-10.00000191,70.16260523
64.69,-10.00000095,70.11073603
64.7,-10.00000095,70.05436243
64.71,-10.00000095,69.99342951
64.72,-10,69.92796473
64.73,-10,69.85805735
64.74,-9.999999046,69.78385843
64.75,-9.999999046,69.70556711
64.76,-9.999998093,69.62341684
64.77,-9.999998093,69.53766855
64.78,-9.999998093,69.44860377
64.79,-9.999998093,69.35651087
64.8,-9.999998093,69.26167139
64.81,-9.999997139,69.16437372
64.82,-9.999997139,69.06487192
64.83,-9.999997139,68.96342692
64.84,-9.999997139,68.86027216
64.85,-9.999997139,68.75561365
64.86,-9.999997139,68.64965052
64.87,-9.999997139,68.54254069
64.88,-9.999997139,68.43443522
64.89,-10.00001621,68.32547144
64.9,-9.999997139,68.21575236
64.91,-9.999997139,68.10537409
64.92,-9.999997139,67.99441904
64.93,-9.999998093,67.88295588
64.94,-9.999998093,67.77104639
64.95,-9.999998093,67.65873179
64.96,-9.999998093,67.54606013
64.97,-9.999998093,67.43306574
64.98,-9.999998093,67.31978983
64.99,-9.999998093,67.20625986
65,-9.999998093,67.0925033
65.01,-9.999998093,66.97855448
65.02,-9.999998093,66.864434
65.03,-9.999998093,66.75016245
65.04,-9.999998093,66.63577418
65.05,-9.999998093,66.52128977
65.06,-9.999998093,66.40674357
65.07,-9.999998093,66.2921493
65.08,-9.999995232,66.1775413
65.09,-9.999997139,66.0629333
65.1,-9.999997139,65.94834589
65.11,-9.999997139,65.83377223
65.12,-9.999997139,65.71922602
65.13,-9.999997139,65.60470042
65.14,-9.999997139,65.49021601
65.15,-9.999997139,65.37576594
65.16,-9.999997139,65.26135706
65.17,-10.0001173,65.14700999
65.18,-9.999999046,65.03273158
65.19,-9.999999046,64.91852183
65.2,-9.999999046,64.80440821
65.21,-9.999999046,64.69040446
65.22,-9.999999046,64.57651057
65.23,-9.999999046,64.46276087
65.24,-9.999999046,64.34915537
65.25,-9.999999046,64.23571467
65.26,-9.999999046,64.12245936
65.27,-9.999999046,64.00941004
65.28,-9.999999046,63.89656672
65.29,-9.999999046,63.78394999
65.3,-9.999999046,63.67158045
65.31,-9.999999046,63.55945811
65.32,-9.999999046,63.44759669
65.33,-9.999999046,63.33600993
65.34,-9.999999046,63.22470469
65.35,-9.999999046,63.11369471
65.36,-9.999999046,63.00297999
