#Name,Car.ay,Car.tx,Car.ty,Car.v,Steer.WhlAng,Time
#Dataset,C1,C1,C1,C1,C1,C1
#Unit,m/s^2,m,m,m/s,deg,s
,-9.33E-08,2.743412495,2.423356533,3.29E-07,4.76E-14,2.54
,-1.18E-07,2.743412495,2.423356533,3.29E-07,4.76E-14,2.55
,5.22E-07,2.743412495,2.423356533,3.29E-07,4.76E-14,2.56
,7.54E-08,2.743412495,2.423356533,3.28E-07,4.76E-14,2.57
,-4.91E-07,2.743412495,2.423356533,3.28E-07,4.76E-14,2.58
,-5.36E-07,2.743412495,2.423356533,3.29E-07,4.76E-14,2.59
,-7.37E-08,2.743412495,2.423356533,3.27E-07,4.76E-14,2.6
,1.42E-07,2.743412495,2.423356533,3.27E-07,4.76E-14,2.61
,-2.78E-07,2.743412495,2.423356533,3.27E-07,4.76E-14,2.62
,-2.98E-08,2.743412495,2.423356533,3.27E-07,4.76E-14,2.63
,-5.71E-07,2.743412495,2.423356533,3.26E-07,4.76E-14,2.64
,4.22E-07,2.743412495,2.423356533,3.27E-07,4.76E-14,2.65
,7.14E-08,2.743412495,2.423356533,3.26E-07,4.76E-14,2.66
,6.36E-07,2.743412495,2.423356533,3.27E-07,4.76E-14,2.67
,-4.46E-07,2.743412495,2.423356533,3.26E-07,4.76E-14,2.68
,-1.29E-07,2.743412495,2.423356533,3.25E-07,4.76E-14,2.69
,-5.45E-08,2.743412495,2.423356533,3.27E-07,4.76E-14,2.7
,-9.44E-08,2.743412495,2.423356533,3.25E-07,4.76E-14,2.71
,5.87E-08,2.743412495,2.423356533,3.26E-07,4.76E-14,2.72
,-8.96E-08,2.743412495,2.423356533,3.26E-07,4.76E-14,2.73
,-4.78E-07,2.743412495,2.423356533,3.25E-07,4.76E-14,2.74
,-1.59E-08,2.743412495,2.423356533,3.23E-07,4.76E-14,2.75
,1.22E-08,2.743412495,2.423356533,3.25E-07,4.76E-14,2.76
,-6.21E-07,2.743412495,2.423356533,3.25E-07,4.76E-14,2.77
,-1.15E-06,2.743412495,2.423356533,3.25E-07,4.76E-14,2.78
,6.08E-07,2.743412495,2.423356533,3.25E-07,4.76E-14,2.79
,-3.94E-07,2.743412495,2.423356533,3.24E-07,4.76E-14,2.8
,-1.17E-07,2.743412495,2.423356771,3.25E-07,4.76E-14,2.81
,-6.33E-07,2.743412495,2.423356771,3.23E-07,4.76E-14,2.82
,1.17E-06,2.743412495,2.423356771,3.23E-07,4.76E-14,2.83
,9.84E-08,2.743412495,2.423356771,3.24E-07,4.76E-14,2.84
,-6.21E-07,2.743412495,2.423356771,3.24E-07,4.76E-14,2.85
,2.71E-08,2.743412495,2.423356771,3.25E-07,4.76E-14,2.86
,1.86E-07,2.743412495,2.423356771,3.22E-07,4.76E-14,2.87
