time,ecu,resp_id,did,signal,value,unit
20.64009,ABS / ESP,0x7D9,,brake_pedel,34,mm
20.731829,MCU DID 0101,0x7EC,0101,battery_current,1.1,A
20.731829,MCU DID 0101,0x7EC,0101,battery_voltage,381.6,V
20.731829,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
20.731829,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
20.731829,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
20.731829,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
20.731829,MCU DID 0101,0x7EC,0101,rpm,4,rpm
20.752022,ABS / ESP,0x7D9,,speed_kmh,0,km/h
20.766061,ABS / ESP,0x7D9,,steer_raw,32772,raw
20.770123,ABS / ESP,0x7D9,,brake_pedel,34,mm
20.867938,MCU DID 0101,0x7EC,0101,battery_current,1.0,A
20.867938,MCU DID 0101,0x7EC,0101,battery_voltage,381.70000000000005,V
20.867938,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
20.867938,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
20.867938,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
20.8689,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
20.8689,MCU DID 0101,0x7EC,0101,rpm,0,rpm
20.886646,ABS / ESP,0x7D9,,speed_kmh,0,km/h
20.899611,ABS / ESP,0x7D9,,steer_raw,32772,raw
20.905656,ABS / ESP,0x7D9,,brake_pedel,34,mm
20.998405,MCU DID 0101,0x7EC,0101,battery_current,1.0,A
20.998405,MCU DID 0101,0x7EC,0101,battery_voltage,381.70000000000005,V
20.998405,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
20.998405,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
20.998405,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
20.998405,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
20.998405,MCU DID 0101,0x7EC,0101,rpm,0,rpm
21.018135,ABS / ESP,0x7D9,,speed_kmh,0,km/h
21.029163,ABS / ESP,0x7D9,,steer_raw,32771,raw
21.035164,ABS / ESP,0x7D9,,brake_pedel,34,mm
21.128325,MCU DID 0101,0x7EC,0101,battery_current,0.9,A
21.128325,MCU DID 0101,0x7EC,0101,battery_voltage,381.70000000000005,V
21.128325,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
21.128325,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
21.128325,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
21.128325,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
21.128325,MCU DID 0101,0x7EC,0101,rpm,0,rpm
21.146662,ABS / ESP,0x7D9,,speed_kmh,0,km/h
21.160288,ABS / ESP,0x7D9,,steer_raw,32772,raw
21.165597,ABS / ESP,0x7D9,,brake_pedel,34,mm
21.258244,MCU DID 0101,0x7EC,0101,battery_current,1.1,A
21.258244,MCU DID 0101,0x7EC,0101,battery_voltage,381.6,V
21.258244,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
21.258244,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
21.258244,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
21.258244,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
21.258244,MCU DID 0101,0x7EC,0101,rpm,0,rpm
21.277939,ABS / ESP,0x7D9,,speed_kmh,0,km/h
21.289862,ABS / ESP,0x7D9,,steer_raw,32772,raw
21.295911,ABS / ESP,0x7D9,,brake_pedel,34,mm
21.388613,MCU DID 0101,0x7EC,0101,battery_current,1.1,A
21.388613,MCU DID 0101,0x7EC,0101,battery_voltage,381.70000000000005,V
21.388613,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
21.388613,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
21.388613,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
21.388613,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
21.388613,MCU DID 0101,0x7EC,0101,rpm,0,rpm
21.408274,ABS / ESP,0x7D9,,speed_kmh,0,km/h
21.420267,ABS / ESP,0x7D9,,steer_raw,32772,raw
21.425358,ABS / ESP,0x7D9,,brake_pedel,35,mm
21.522021,MCU DID 0101,0x7EC,0101,battery_current,1.1,A
21.522021,MCU DID 0101,0x7EC,0101,battery_voltage,381.70000000000005,V
21.522021,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
21.522021,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
21.522021,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
21.522021,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
21.522021,MCU DID 0101,0x7EC,0101,rpm,0,rpm
21.541298,ABS / ESP,0x7D9,,speed_kmh,0,km/h
21.555997,ABS / ESP,0x7D9,,steer_raw,32772,raw
21.559983,ABS / ESP,0x7D9,,brake_pedel,35,mm
21.65227,MCU DID 0101,0x7EC,0101,battery_current,1.1,A
21.65227,MCU DID 0101,0x7EC,0101,battery_voltage,381.70000000000005,V
21.65227,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
21.65227,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
21.65227,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
21.65227,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
21.65227,MCU DID 0101,0x7EC,0101,rpm,0,rpm
21.671723,ABS / ESP,0x7D9,,speed_kmh,0,km/h
21.685755,ABS / ESP,0x7D9,,steer_raw,32772,raw
21.689779,ABS / ESP,0x7D9,,brake_pedel,35,mm
21.788487,MCU DID 0101,0x7EC,0101,battery_current,1.0,A
21.788487,MCU DID 0101,0x7EC,0101,battery_voltage,381.70000000000005,V
21.788487,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
21.788487,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
21.788487,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
21.788487,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
21.788487,MCU DID 0101,0x7EC,0101,rpm,0,rpm
21.807956,ABS / ESP,0x7D9,,speed_kmh,0,km/h
21.819954,ABS / ESP,0x7D9,,steer_raw,32772,raw
